pdb_id,author_family_name
1ajw,Gosser
1ajw,Nomanbhoy
1ajw,Aghazadeh
1ajw,Manor
1ajw,Combs
1ajw,Cerione
1ajw,Rosen
1ajy,Walters
1ajy,Dayie
1ajy,Reece
1ajy,Ptashne
1ajy,Wagner
1ak6,Hatanaka
1ak6,Ogura
1ak6,Moriyama
1ak6,Ichikawa
1ak6,Yahara
1ak6,Inagaki
1ak7,Hatanaka
1ak7,Ogura
1ak7,Moriyama
1ak7,Ichikawa
1ak7,Yahara
1ak7,Inagaki
1ak8,Bentrop
1ak8,Bertini
1ak8,Cremonini
1ak8,Forsen
1ak8,Luchinat
1ak8,Malmendal
1akk,Banci
1akk,Bertini
1akk,Gray
1akk,Luchinat
1akk,Reddig
1akk,Rosato
1akk,Turano
1akp,Constantine
1akp,Colson
1akp,Wittekind
1akp,Friedrichs
1akp,Zein
1akp,Tuttle
1akp,Langley
1akp,Leet
1akp,Schroeder
1akp,Lam
1akp,al.
1akx,Brodsky
1akx,Williamson
1al5,Conte
1al5,Conn
1al5,Brown
1al5,Lane
1al9,Robinson
1al9,Priebe
1al9,Chaires
1al9,Wang
1ale,Rozek
1ale,Buchko
1ale,Cushley
1alf,Rozek
1alf,Buchko
1alf,Cushley
1alg,Nordhoff
1alg,Tziatzios
1alg,van den Broek
1alg,Schott
1alg,Kalbitzer
1alg,Becker
1alg,Schubert
1alg,Schirmer
1am0,Jiang
1am0,Kumar
1am0,Jones
1am0,Patel
1amb,Talafous
1amb,Marcinowski
1amb,Klopman
1amb,Zagorski
1amc,Talafous
1amc,Marcinowski
1amc,Klopman
1amc,Zagorski
1amd,Robinson
1amd,Priebe
1amd,Chaires
1amd,Wang
1aml,Sticht
1aml,Bayer
1aml,Willbold
1aml,Dames
1aml,Hilbich
1aml,Beyreuther
1aml,Frank
1aml,Rosch
1anp,Fairbrother
1anp,McDowell
1anp,Cunningham
1anr,Aboul-ela
1anr,Karn
1anr,Varani
1ans,Manoleras
1ans,Norton
1ao1,Caceres-Cortes
1ao1,Sugiyama
1ao1,Ikudome
1ao1,Saito
1ao1,Wang
1ao2,Caceres-Cortes
1ao2,Sugiyama
1ao2,Ikudome
1ao2,Saito
1ao2,Wang
1ao4,Caceres-Cortes
1ao4,Sugiyama
1ao4,Ikudome
1ao4,Saito
1ao4,Wang
1ao8,Gargaro
1ao8,Soteriou
1ao8,Frenkiel
1ao8,Bauer
1ao8,Birdsall
1ao8,Polshakov
1ao8,Barsukov
1ao8,Roberts
1ao8,Feeney
1ao9,Bartley
1ao9,Brown
1ao9,Lane
1aoo,Peterson
1aoo,Narula
1aoo,Armitage
1aot,Mulhern
1aot,Shaw
1aot,Morton
1aot,Day
1aot,Campbell
1aou,Mulhern
1aou,Shaw
1aou,Morton
1aou,Day
1aou,Campbell
1aoy,Sunnerhagen
1aoy,Nilges
1aoy,Otting
1aoy,Carey
1ap0,Ball
1ap0,Murzina
1ap0,Broadhurst
1ap0,Raine
1ap0,Archer
1ap0,Stott
1ap0,Murzin
1ap0,Singh
1ap0,Domaille
1ap0,Laue
1ap1,Setayesh
1ap1,DeCorte
1ap1,Horton
1ap1,Harris
1ap1,Harris
1ap1,Stone
1ap4,Spyracopoulos
1ap4,Li
1ap4,Sia
1ap4,Gagne
1ap4,Chandra
1ap4,Solaro
1ap4,Sykes
1ap7,Luh
1ap7,Archer
1ap7,Domaille
1ap7,Smith
1ap7,Owen
1ap7,Brotherton
1ap7,Raine
1ap7,Xu
1ap7,Brizuela
1ap7,Brenner
1ap7,Laue
1ap8,Matsuo
1ap8,Li
1ap8,McGuire
1ap8,Fletcher
1ap8,Gingras
1ap8,Sonenberg
1ap8,Wagner
1apc,Feng
1apc,Sligar
1apc,Wand
1apf,Monks
1apf,Pallaghy
1apf,Scanlon
1apf,Norton
1apj,Yuan
1apj,Downing
1apj,Knott
1apj,Handford
1apo,Ullner
1apo,Selander
1apo,Persson
1apo,Stenflo
1apo,Drakenberg
1apo,Teleman
1apq,Bersch
1apq,Hernandez
1apq,Marion
1apq,Arlaud
1aps,Pastore
1aps,Saudek
1aps,Ramponi
1aps,Williams
1aq5,Wiltscheck
1aq5,Kammerer
1aq5,Dames
1aq5,Schulthess
1aq5,Blommers
1aq5,Engel
1aq5,Alexandrescu
1aqa,Banci
1aqa,Bertini
1aqa,Ferroni
1aqa,Rosato
1aqg,Kisselev
1aqg,Kao
1aqg,Ponder
1aqg,Fann
1aqg,Gautam
1aqg,Marshall
1aqo,Addess
1aqo,Basilion
1aqo,Klausner
1aqo,Rouault
1aqo,Pardi
1aqq,Peterson
1aqq,Narula
1aqq,Armitage
1aqr,Peterson
1aqr,Narula
1aqr,Armitage
1aqs,Peterson
1aqs,Narula
1aqs,Armitage
1ard,Hoffman
1ard,Horvath
1ard,Klevit
1are,Hoffman
1are,Horvath
1are,Klevit
1arf,Hoffman
1arf,Horvath
1arf,Klevit
1arj,Aboul-ela
1arj,Karn
1arj,Varani
1ark,Politou
1ark,Millevoi
1ark,Gautel
1ark,Kolmerer
1ark,Pastore
1arq,Bonvin
1arq,Vis
1arq,Burgering
1arq,Breg
1arq,Boelens
1arq,Kaptein
1arr,Bonvin
1arr,Vis
1arr,Burgering
1arr,Breg
1arr,Boelens
1arr,Kaptein
1as5,Mitchell
1as5,Shon
1as5,Foster
1as5,Davis
1as5,Olivera
1as5,Ireland
1at4,Bartley
1at4,Brown
1at4,Lane
1ata,Grasberger
1ata,Clore
1ata,Gronenborn
1atb,Grasberger
1atb,Clore
1atb,Gronenborn
1atd,Grasberger
1atd,Clore
1atd,Gronenborn
1ate,Grasberger
1ate,Clore
1ate,Gronenborn
1ato,Kolk
1ato,Heus
1ato,Hilbers
1atx,Widmer
1atx,Billeter
1atx,Wuthrich
1aty,Girvin
1aty,Fillingame
1au5,Yang
1au5,van Boom
1au5,Reedijk
1au5,van Boom
1au5,Wang
1au6,Yang
1au6,van Boom
1au6,Reedijk
1au6,van Boom
1au6,Farrell
1au6,Wang
1aud,Allain
1aud,Howe
1aud,Neuhaus
1aud,Varani
1aul,Kumar
1aul,Reed
1aul,Gamper Jr.
1aul,Gorn
1aul,Lukhtanov
1aul,Foti
1aul,West
1aul,Meyer Jr.
1aul,Schweitzer
1auu,Manival
1auu,Yang
1auu,Strub
1auu,Kochoyan
1auu,Steinmetz
1auu,Aymerich
1auz,Kovacs
1auz,Comfort
1auz,Lord
1auz,Campbell
1auz,Yudkin
1av3,Scanlon
1av3,Naranjo
1av3,Thomas
1av3,Alewood
1av3,Lewis
1av3,Craik
1aw0,Gitschier
1aw0,Moffat
1aw0,Reilly
1aw0,Wood
1aw0,Fairbrother
1aw3,Arnesano
1aw3,Banci
1aw3,Bertini
1aw3,Felli
1aw4,Lin
1aw4,Patel
1aw6,Baleja
1aw6,Thanabal
1aw6,Wagner
1awe,Zheng
1awe,Chen
1awe,Corblan-Garcia
1awe,Cahill
1awe,Bar-Sagi
1awe,Cowburn
1awj,Andreotti
1awj,Bunnell
1awj,Feng
1awj,Berg
1awj,Schreiber
1awo,Gosser
1awo,Zheng
1awo,Overduin
1awo,Mayer
1awo,Cowburn
1aww,Hansson
1aww,Mattsson
1aww,Allard
1aww,Haapaniemi
1aww,Vihinen
1aww,Smith
1aww,Hard
1awx,Hansson
1awx,Mattsson
1awx,Allard
1awx,Haapaniemi
1awx,Vihinen
1awx,Smith
1awx,Hard
