bmrb_id,author_family_name
326,Drakenberg
326,Forsen
326,Kordel
327,Chazin
327,Forsen
327,Skelton
329,Boyd
329,Ramponi
329,Saudek
329,Stefani
329,Williams
329,Wormald
330,Moench
330,Satterlee
331,Moench
331,Satterlee
332,Moench
332,Satterlee
335,Martenson
335,Mendz
335,Price
336,Keller
336,Wuthrich
337,Keller
337,Wuthrich
338,Coffin
338,Cowburn
338,Glushka
338,Lee
339,Coffin
339,Cowburn
339,Glushka
339,Lee
340,Coffin
340,Cowburn
340,Glushka
340,Lee
341,Coffin
341,Cowburn
341,Glushka
341,Lee
342,Coffin
342,Cowburn
342,Glushka
342,Lee
345,Boyd
345,Gao
345,Pielak
345,Williams
346,Boyd
346,Gao
346,Pielak
346,Williams
349,Byeon
349,Kelley
349,Llinas
350,Byeon
350,Kelley
350,Llinas
351,Byeon
351,Kelley
351,Llinas
353,Harushima
353,Sugai
354,Harushima
354,Sugai
355,Harushima
355,Sugai
356,Corigliano-Murphy
356,Ferretti
356,Najem
357,Corigliano-Murphy
357,Ferretti
357,Najem
358,Clore
358,Gronenborn
358,Nilges
358,Peanasky
359,Kaplan
359,Lecomte
359,Llinas
359,Samuelsson
359,Thunberg
360,Kaplan
360,Lecomte
360,Llinas
360,Samuelsson
360,Thunberg
361,Kaplan
361,Lecomte
361,Llinas
361,Samuelsson
361,Thunberg
362,Kaplan
362,Lecomte
362,Llinas
362,Samuelsson
362,Thunberg
363,La Mar
363,Mizukami
363,Yu
364,La Mar
364,Mizukami
364,Yu
367,Smith
367,Yu
369,Smith
369,Yu
371,Dahlquist
371,Kim
371,McIntosh
371,Oas
371,O'Shea
372,Campbell
372,Carlquist
372,Cooke
372,Rigler
372,Wennerberg
373,Campbell
373,Carlquist
373,Cooke
373,Rigler
373,Wennerberg
374,Mabbutt
374,Norton
375,Mabbutt
375,Norton
376,Bacher
376,Muller
376,van Mierlo
376,Vervoort
385,Eastman
385,Purisima
385,Robertson
385,Scheraga
386,Boelens
386,Dekker
386,Fisher
386,Kaptein
386,Primrose
386,Roberts
386,Slotboom
387,Boelens
387,Dekker
387,Fisher
387,Kaptein
387,Primrose
387,Roberts
387,Slotboom
388,Boelens
388,Dekker
388,Fisher
388,Kaptein
388,Primrose
388,Roberts
388,Slotboom
389,Boelens
389,Dekker
389,Fisher
389,Kaptein
389,Primrose
389,Roberts
389,Slotboom
390,Chazin
390,Drakenberg
390,Hofmann
391,Seeholzer
391,Wand
392,Seeholzer
392,Wand
393,Arrowsmith
393,Carey
393,Jardetzky
393,Treat-Clemons
394,Bowie
394,Patel
394,Sauer
394,Vershon
394,Zagorski
395,Boelens
395,Breg
395,George
395,Kaptein
397,Castro
397,Chiche
397,Heitz
397,Le-Nguyen
398,Guerlesquin
398,Marion
401,Bullock
401,Konishi
401,Ni
401,Rivetna
401,Scheraga
402,Bullock
402,Konishi
402,Ni
402,Rivetna
402,Scheraga
405,Coleman
405,King
407,Carver
407,Collins
408,Borremans
408,Lazdunski
408,Martins
408,Tartar
408,Zhang
410,Stassinopoulou
410,Wagner
410,Wuthrich
411,Brown
411,De Marco
411,Richarz
411,Wagner
411,Wuthrich
